Base Metal (wt %),,,,,,,Catalyst Preparation Method,,,,,,,,,,,,Calcination conditions,,Support type,,,,,,,,,,,,,,,,,,,,,Promoter type and weight %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operating Conditions,,,,,,,,,Output
Pt,Au,Ru,Rh,Ir,Cu,Pd,IWI,WI,CI,SI,SGP,CP,HDP,UGC,SCT,FSP,ME,DP,Calc T (oC),Calc T. (hr),Al2O3,MgO,CeO2,TiO2,ZEO,MnO,Y203,ZrO2,HAP,ACC,Tb4O7,HfO2,La2O3,Co3O4,ThO2,SiO2,Fe2O3,Sm2O3,Gd2O3,Yb2O3,CaO,Li,Ce,Co,Mg,Fe,Mn,Zr,K,Ni,Ca,Cs,V,Rb,Y,Na,La,Gd,Yb,Zn,Re,Ti,Cr,Ho,Nd,Tm,Sm,Er,Sr,YSZ,Temperature (C),H2 vol.%,O2 vol.%,CO vol.%,H2O vol.%,CO2 vol.%,CH4 vol.%,TOS (min),F/W (mg.min/ml),CO Conversion
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,4.498,30.6,0,0,60,2,7.6
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,4.498,30.6,0,0,60,2,11.1
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,4.498,30.6,0,0,60,2,18
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,4.498,30.6,0,0,60,2,13.2
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,4.498,30.6,0,0,60,2,26.3
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,4.498,30.6,0,0,60,2,32.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,4.498,30.6,0,0,60,2,25.6
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,4.498,30.6,0,0,60,2,49.4
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,4.498,30.6,0,0,60,2,53.5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,4.498,30.6,0,0,60,2,58.9
